X,Y,Z,% of ICNIRP Public,
6.8,-2.39375,0.997316,0.00953579,
7.35,-3.85,0.997316,0.00664841,
6.8,0.51875,0.997316,0.0152985,
7.35,0.51875,0.997316,0.0219112,
11.75,19.45,0.997316,0.656335,
11.75,17.9938,0.997316,0.739152,
12.3,17.9938,0.997316,0.688536,
11.2,20.9062,0.997316,0.618468,
10.65,22.3625,0.997316,0.571117,
11.75,16.5375,0.997316,0.822865,
11.75,15.0813,0.997316,0.912845,
12.85,16.5375,0.997316,0.701967,
13.4,15.0813,0.997316,0.684928,
10.1,23.8188,0.997316,0.517691,
10.65,23.8188,0.997316,0.502282,
5.7,23.8188,0.997316,0.602271,
6.25,22.3625,0.997316,0.693016,
6.25,23.8188,0.997316,0.59931,
6.8,20.9062,0.997316,0.793202,
7.35,19.45,0.997316,0.92175,
11.75,7.8,0.997316,0.840662,
11.75,6.34375,0.997316,0.602389,
12.3,6.34375,0.997316,0.507962,
11.75,4.8875,0.997316,0.373567,
11.75,3.43125,0.997316,0.201633,
12.85,4.8875,0.997316,0.283183,
13.4,3.43125,0.997316,0.152732,
11.75,-3.85,0.997316,0.0111805,
11.75,-5.30625,0.997316,0.00656551,
12.3,-5.30625,0.997316,0.0072568,
11.2,-2.39375,0.997316,0.0178341,
10.65,-0.9375,0.997316,0.0310458,
11.75,-6.7625,0.997316,0.00411635,
11.75,-8.21875,0.997316,0.00279152,
12.85,-6.7625,0.997316,0.00509892,
13.4,-8.21875,0.997316,0.00374884,
10.1,0.51875,0.997316,0.0587251,
10.65,0.51875,0.997316,0.0604224,
11.2,0.51875,0.997316,0.0610449,
11.75,0.51875,0.997316,0.0607571,
-3.1,-5.30625,0.997316,0.00694986,
-2.55,-6.7625,0.997316,0.00402235,
-2.55,-5.30625,0.997316,0.00626308,
-2,-8.21875,0.997316,0.00258788,
-1.45,-9.675,0.997316,0.00205795,
-2,-5.30625,0.997316,0.00571623,
-1.45,-5.30625,0.997316,0.00517213,
-0.9,-5.30625,0.997316,0.00463109,
-0.35,-9.675,0.997316,0.00228645,
-0.35,-8.21875,0.997316,0.00260139,
-0.35,-6.7625,0.997316,0.00314882,
-0.35,-5.30625,0.997316,0.00426924,
0.2,-5.30625,0.997316,0.00408175,
0.75,-5.30625,0.997316,0.00417405,
0.75,25.275,0.997316,0.480869,
0.75,23.8188,0.997316,0.543276,
0.75,22.3625,0.997316,0.617691,
0.75,20.9062,0.997316,0.709066,
-3.1,17.9938,0.997316,0.618003,
-2.55,16.5375,0.997316,0.72738,
-2.55,17.9938,0.997316,0.663815,
-2,15.0813,0.997316,0.850392,
-1.45,13.625,0.997316,1.02319,
-2,17.9938,0.997316,0.713062,
-1.45,17.9938,0.997316,0.749107,
-0.9,17.9938,0.997316,0.803748,
-1.45,12.1687,0.997316,1.0884,
-0.9,12.1687,0.997316,1.245,
-1.45,10.7125,0.997316,1.10267,
5.7,-5.30625,0.997316,0.00847601,
6.25,-6.7625,0.997316,0.00614865,
6.25,-5.30625,0.997316,0.0076462,
5.15,-5.30625,0.997316,0.00888936,
4.6,-5.30625,0.997316,0.00887792,
4.05,-5.30625,0.997316,0.00848443,
6.8,-8.21875,0.997316,0.00459713,
7.35,-9.675,0.997316,0.00354253,
6.8,-5.30625,0.997316,0.00666209,
7.35,-5.30625,0.997316,0.00565847,
7.9,-5.30625,0.997316,0.00486104,
4.05,-9.675,0.997316,0.00445044,
4.05,-8.21875,0.997316,0.00542705,
4.05,-6.7625,0.997316,0.00672035,
3.5,-5.30625,0.997316,0.00772753,
2.95,-5.30625,0.997316,0.00683619,
2.4,-5.30625,0.997316,0.00593598,
9,-14.0437,0.997316,0.0018187,
8.45,-12.5875,0.997316,0.00222354,
8.45,-9.675,0.997316,0.0028221,
8.45,-8.21875,0.997316,0.00319611,
8.45,-6.7625,0.997316,0.00368654,
8.45,-5.30625,0.997316,0.00430702,
9,-5.30625,0.997316,0.00409342,
9.55,-5.30625,0.997316,0.00414672,
1.85,-5.30625,0.997316,0.00507538,
1.85,-3.85,0.997316,0.00593496,
1.85,-2.39375,0.997316,0.00757,
1.85,-0.9375,0.997316,0.0129918,
1.85,0.51875,0.997316,0.0326111,
1.85,1.975,0.997316,0.0938412,
1.85,3.43125,0.997316,0.279011,
1.85,4.8875,0.997316,0.9699,
9.55,25.275,0.997316,0.471544,
9.55,23.8188,0.997316,0.535433,
9.55,22.3625,0.997316,0.607094,
9.55,20.9062,0.997316,0.698998,
9.55,7.8,0.997316,1.85989,
9.55,6.34375,0.997316,1.32719,
10.1,6.34375,0.997316,1.08282,
10.65,4.8875,0.997316,0.503559,
11.2,3.43125,0.997316,0.22181,
11.75,1.975,0.997316,0.109083,
12.3,0.51875,0.997316,0.058659,
12.85,-0.9375,0.997316,0.0351972,
13.4,-2.39375,0.997316,0.0217705,
9.55,4.8875,0.997316,0.692892,
9.55,3.43125,0.997316,0.283519,
9,6.34375,0.997316,1.69006,
7.9,6.34375,0.997316,2.75947,
8.45,4.8875,0.997316,0.961212,
8.45,6.34375,0.997316,2.12261,
7.35,7.8,0.997316,4.46745,
9,3.43125,0.997316,0.296452,
9.55,1.975,0.997316,0.119093,
9.55,0.51875,0.997316,0.0545756,
9.55,-0.9375,0.997316,0.0249437,
9.55,-2.39375,0.997316,0.0119383,
8.45,7.8,0.997316,2.8907,
-3.1,6.34375,0.997316,0.374148,
-2.55,4.8875,0.997316,0.278673,
-2.55,6.34375,0.997316,0.435599,
-2,3.43125,0.997316,0.178267,
-1.45,1.975,0.997316,0.103002,
-0.9,0.51875,0.997316,0.0546717,
-0.35,-0.9375,0.997316,0.0258193,
