X,Y,Z,% of ICNIRP Public,
-24.0938,76.2,3.9,0.0335264,
-24.0938,79.125,3.9,0.0316066,
1,8.925,3.9,2.29595,
3.28125,6,3.9,2.48964,
3.28125,8.925,3.9,1.75761,
10.125,-2.775,3.9,0.0686975,
12.4062,-5.7,3.9,0.0275375,
12.4062,-2.775,3.9,0.0536817,
7.84375,-2.775,3.9,0.0883309,
7.84375,0.15,3.9,0.239873,
-10.4062,8.925,3.9,0.519037,
-8.125,8.925,3.9,0.826501,
-10.4062,11.85,3.9,0.505106,
-1.28125,8.925,3.9,2.37371,
-1.28125,11.85,3.9,1.4748,
-1.28125,6,3.9,4.2723,
-3.5625,8.925,3.9,1.92973,
10.125,79.125,3.9,0.0367184,
12.4062,76.2,3.9,0.0382925,
12.4062,79.125,3.9,0.0356062,
12.4062,41.1,3.9,0.113313,
12.4062,38.175,3.9,0.125742,
14.6875,38.175,3.9,0.115669,
12.4062,29.4,3.9,0.180791,
12.4062,26.475,3.9,0.206997,
14.6875,26.475,3.9,0.17707,
-26.375,20.625,3.9,0.0797975,
-24.0938,17.7,3.9,0.0929481,
-24.0938,20.625,3.9,0.0963623,
-28.6562,20.625,3.9,0.0650983,
-28.6562,23.55,3.9,0.0675676,
-28.6562,8.925,3.9,0.0415307,
-26.375,8.925,3.9,0.0515867,
-28.6562,11.85,3.9,0.0492205,
-19.5312,8.925,3.9,0.114424,
-17.25,8.925,3.9,0.155817,
-19.5312,11.85,3.9,0.133595,
-19.5312,6,3.9,0.0900637,
-21.8125,8.925,3.9,0.0852573,
-14.9688,6,3.9,0.181025,
-14.9688,8.925,3.9,0.226775,
-8.125,-2.775,3.9,0.0872699,
-5.84375,-5.7,3.9,0.0238424,
-5.84375,-2.775,3.9,0.104536,
-10.4062,-2.775,3.9,0.0680503,
-10.4062,0.15,3.9,0.159072,
-8.125,79.125,3.9,0.0373901,
-5.84375,76.2,3.9,0.0409955,
-5.84375,79.125,3.9,0.0380593,
-17.25,79.125,3.9,0.0349358,
-14.9688,76.2,3.9,0.0379834,
-14.9688,79.125,3.9,0.0353359,
1,79.125,3.9,0.0382279,
3.28125,76.2,3.9,0.0411142,
3.28125,79.125,3.9,0.0381579,
-35.5,79.125,3.9,0.0255437,
-33.2188,76.2,3.9,0.0281882,
-33.2188,79.125,3.9,0.0269231,
-10.4062,17.7,3.9,0.399378,
-10.4062,20.625,3.9,0.335746,
-12.6875,20.625,3.9,0.281373,
-8.125,26.475,3.9,0.277595,
-10.4062,29.4,3.9,0.212874,
-10.4062,26.475,3.9,0.246873,
10.125,20.625,3.9,0.320854,
