X,Y,Z,% of ICNIRP Public,
9.15,-14.875,3.9,0.00270192,
11.65,32,3.9,0.169207,
11.65,30.4375,3.9,0.180371,
12.9,30.4375,3.9,0.168763,
11.65,19.5,3.9,0.294786,
11.65,17.9375,3.9,0.314734,
12.9,17.9375,3.9,0.2727,
10.4,21.0625,3.9,0.306717,
11.65,21.0625,3.9,0.275626,
0.4,21.0625,3.9,0.51134,
1.65,19.5,3.9,0.573807,
1.65,21.0625,3.9,0.496302,
10.4,8.5625,3.9,0.438317,
11.65,7,3.9,0.317287,
11.65,8.5625,3.9,0.343441,
9.15,8.5625,3.9,0.565649,
9.15,10.125,3.9,0.562854,
11.65,5.4375,3.9,0.277115,
12.9,5.4375,3.9,0.220126,
11.65,-5.5,3.9,0.0300545,
11.65,-7.0625,3.9,0.0211875,
12.9,-7.0625,3.9,0.0199095,
10.4,-3.9375,3.9,0.0487039,
11.65,-3.9375,3.9,0.0439167,
-19.6,-10.1875,3.9,0.00870999,
-18.35,-11.75,3.9,0.0070275,
-18.35,-10.1875,3.9,0.00897677,
-14.6,-16.4375,3.9,0.00258881,
-13.35,-18,3.9,0.00170239,
-13.35,-16.4375,3.9,0.00228012,
-15.85,-16.4375,3.9,0.00283132,
-15.85,-14.875,3.9,0.00382644,
-13.35,32,3.9,0.164594,
-13.35,30.4375,3.9,0.174934,
-12.1,30.4375,3.9,0.187263,
-13.35,25.75,3.9,0.212666,
-13.35,24.1875,3.9,0.230072,
-12.1,24.1875,3.9,0.247004,
-14.6,27.3125,3.9,0.186571,
-13.35,27.3125,3.9,0.198158,
-19.6,14.8125,3.9,0.143388,
-18.35,13.25,3.9,0.16007,
-18.35,14.8125,3.9,0.165438,
-14.6,8.5625,3.9,0.236126,
-13.35,7,3.9,0.263977,
-13.35,8.5625,3.9,0.291692,
-15.85,8.5625,3.9,0.190053,
-15.85,10.125,3.9,0.205742,
0.4,-10.1875,3.9,0.00788823,
1.65,-11.75,3.9,0.00488261,
1.65,-10.1875,3.9,0.00586907,
5.4,-16.4375,3.9,0.00161306,
6.65,-18,3.9,0.00128442,
6.65,-16.4375,3.9,0.00152919,
4.15,-16.4375,3.9,0.00190214,
4.15,-14.875,3.9,0.00215885,
-5.85,-10.1875,3.9,0.003965,
-4.6,-10.1875,3.9,0.00411438,
-5.85,-8.625,3.9,0.00639095,
-0.85,-10.1875,3.9,0.00851979,
-0.85,-8.625,3.9,0.0113635,
-0.85,-11.75,3.9,0.00657606,
-2.1,-10.1875,3.9,0.00732773,
6.65,32,3.9,0.203326,
6.65,30.4375,3.9,0.22295,
7.9,30.4375,3.9,0.213599,
6.65,25.75,3.9,0.295378,
6.65,24.1875,3.9,0.324154,
7.9,24.1875,3.9,0.303223,
5.4,27.3125,3.9,0.278984,
6.65,27.3125,3.9,0.266149,
6.65,7,3.9,0.9809,
6.65,5.4375,3.9,0.951804,
7.9,5.4375,3.9,0.672475,
6.65,0.75,3.9,0.39934,
6.65,-0.8125,3.9,0.222958,
7.9,-0.8125,3.9,0.174994,
5.4,2.3125,3.9,0.963785,
6.65,2.3125,3.9,0.626201,
0.4,14.8125,3.9,0.98849,
1.65,13.25,3.9,1.14987,
1.65,14.8125,3.9,0.951053,
5.4,8.5625,3.9,1.24092,
6.65,8.5625,3.9,0.953896,
