X,Y,Z,% of FCC OET 65 Public,
0.2875,-13.5813,3.9,0.0036184,
1.23125,-16.15,3.9,0.00236871,
0.2875,-8.44375,3.9,0.00817498,
1.23125,-8.44375,3.9,0.00625944,
8.78125,45.5,3.9,0.0781684,
8.78125,42.9313,3.9,0.0860002,
9.725,42.9313,3.9,0.084781,
8.78125,40.3625,3.9,0.0963979,
8.78125,37.7937,3.9,0.107726,
10.6688,40.3625,3.9,0.0918171,
11.6125,37.7937,3.9,0.0991775,
8.78125,24.95,3.9,0.209005,
8.78125,22.3813,3.9,0.240183,
9.725,22.3813,3.9,0.227506,
8.78125,19.8125,3.9,0.282844,
8.78125,17.2437,3.9,0.326652,
10.6688,19.8125,3.9,0.238467,
11.6125,17.2437,3.9,0.243764,
5.95,12.1063,3.9,0.645652,
6.89375,9.5375,3.9,0.648164,
6.89375,12.1063,3.9,0.563634,
5.00625,12.1063,3.9,0.728904,
4.0625,12.1063,3.9,0.818543,
7.8375,6.96875,3.9,0.549681,
8.78125,4.4,3.9,0.36069,
7.8375,12.1063,3.9,0.492065,
8.78125,12.1063,3.9,0.420788,
3.11875,12.1063,3.9,0.900003,
3.11875,14.675,3.9,0.669123,
3.11875,17.2437,3.9,0.512115,
3.11875,19.8125,3.9,0.400453,
8.78125,1.83125,3.9,0.22946,
9.725,1.83125,3.9,0.183878,
8.78125,-0.737501,3.9,0.114275,
8.78125,-3.30625,3.9,0.0505796,
10.6688,-0.737501,3.9,0.083207,
11.6125,-3.30625,3.9,0.0385256,
8.78125,-16.15,3.9,0.00146013,
8.78125,-18.7188,3.9,0.000933972,
9.725,-18.7188,3.9,0.00101892,
7.8375,-13.5813,3.9,0.00224322,
6.89375,-11.0125,3.9,0.00390093,
8.78125,-21.2875,3.9,0.000685282,
10.6688,-21.2875,3.9,0.000749378,
5.95,-8.44375,3.9,0.00781576,
6.89375,-8.44375,3.9,0.0091179,
7.8375,-8.44375,3.9,0.0102156,
8.78125,-8.44375,3.9,0.0110335,
-16.7,-18.7188,3.9,0.0015023,
-15.7563,-21.2875,3.9,0.00090995,
-15.7563,-18.7188,3.9,0.00137577,
-14.8125,-18.7188,3.9,0.0012774,
-13.8688,-18.7188,3.9,0.00117903,
-12.925,-18.7188,3.9,0.00108013,
-13.8688,-21.2875,3.9,0.00077614,
