X,Y,Z,% of FCC OET 65 Public,
20.7125,-1.675,1.12,0.11867,
12.9,-1.675,1.12,0.287845,
14.4625,-2.3,1.12,0.226027,
14.4625,-1.675,1.12,0.23365,
19.15,-4.175,1.12,0.126054,
20.7125,-4.8,1.12,0.107287,
20.7125,-4.175,1.12,0.110325,
17.5875,-4.175,1.12,0.146048,
17.5875,-3.55,1.12,0.1514,
20.7125,-5.425,1.12,0.10363,
22.275,-5.425,1.12,0.0914034,
20.7125,-7.3,1.12,0.092111,
20.7125,-7.925,1.12,0.0883892,
22.275,-7.925,1.12,0.079711,
19.15,-6.675,1.12,0.107619,
20.7125,-6.675,1.12,0.096182,
0.4,-7.925,1.12,0.0535648,
1.9625,-8.55,1.12,0.0735005,
1.9625,-7.925,1.12,0.0867829,
-1.1625,-7.925,1.12,0.0307655,
-2.725,-7.925,1.12,0.0174968,
3.525,-9.175,1.12,0.0874843,
5.0875,-9.8,1.12,0.0932859,
3.525,-7.925,1.12,0.124497,
5.0875,-7.925,1.12,0.154114,
-4.2875,-7.925,1.12,0.0102381,
-4.2875,-7.3,1.12,0.0103924,
-4.2875,-6.675,1.12,0.0104302,
-4.2875,-6.05,1.12,0.0103212,
5.0875,10.2,1.12,0.0843773,
5.0875,9.575,1.12,0.0988576,
6.65,9.575,1.12,0.113134,
5.0875,8.95,1.12,0.114397,
5.0875,8.325,1.12,0.13666,
8.2125,8.95,1.12,0.139911,
9.775,8.325,1.12,0.160656,
5.0875,0.2,1.12,1.32251,
5.0875,-0.425,1.12,1.30133,
6.65,-0.425,1.12,0.920746,
3.525,0.825,1.12,1.63328,
1.9625,1.45,1.12,1.09261,
5.0875,-1.05,1.12,1.21936,
5.0875,-1.675,1.12,1.08335,
8.2125,-1.05,1.12,0.642485,
9.775,-1.675,1.12,0.462557,
0.4,2.075,1.12,0.208593,
1.9625,2.075,1.12,0.787469,
3.525,2.075,1.12,1.13926,
5.0875,2.075,1.12,0.998252,
-12.1,-7.925,1.12,0.000820444,
-10.5375,-8.55,1.12,0.00143901,
-10.5375,-7.925,1.12,0.00128385,
-13.6625,-7.925,1.12,0.000556646,
-15.225,-7.925,1.12,0.000400918,
-8.975,-9.175,1.12,0.00242333,
-7.4125,-9.8,1.12,0.00392322,
-8.975,-7.925,1.12,0.00212123,
-7.4125,-7.925,1.12,0.0035739,
-16.7875,-7.925,1.12,0.000311274,
-16.7875,-7.3,1.12,0.000308309,
-7.4125,10.2,1.12,0.0034476,
-7.4125,9.575,1.12,0.00335576,
-5.85,9.575,1.12,0.0054014,
-7.4125,8.95,1.12,0.00324629,
-7.4125,8.325,1.12,0.00307369,
-4.2875,8.95,1.12,0.00881076,
-2.725,8.325,1.12,0.0157906,
-7.4125,5.2,1.12,0.00179587,
-7.4125,4.575,1.12,0.00153355,
-5.85,4.575,1.12,0.00308181,
-8.975,5.825,1.12,0.00115494,
-10.5375,6.45,1.12,0.000806243,
-7.4125,3.95,1.12,0.00139774,
-7.4125,3.325,1.12,0.00142602,
-4.2875,3.95,1.12,0.00623804,
-2.725,3.325,1.12,0.0146245,
-12.1,7.075,1.12,0.000601866,
-10.5375,7.075,1.12,0.000895209,
-8.975,7.075,1.12,0.0014702,
-7.4125,7.075,1.12,0.00266258,
-12.1,2.075,1.12,0.00110638,
-10.5375,1.45,1.12,0.00151661,
-10.5375,2.075,1.12,0.00135633,
-13.6625,2.075,1.12,0.000924333,
-15.225,2.075,1.12,0.000775478,
-8.975,0.825,1.12,0.00209962,
-7.4125,0.2,1.12,0.00295361,
-8.975,2.075,1.12,0.00165067,
-7.4125,2.075,1.12,0.00201635,
-4.2875,-2.925,1.12,0.00495845,
-2.725,-2.925,1.12,0.0147712,
-4.2875,-2.3,1.12,0.00346827,
-4.2875,-3.55,1.12,0.00667898,
-4.2875,-4.175,1.12,0.00811786,
-1.1625,-2.925,1.12,0.0438454,
0.4,-2.925,1.12,0.1776,
-4.2875,-1.675,1.12,0.00295803,
-4.2875,-1.05,1.12,0.00374066,
-4.2875,-4.8,1.12,0.00918956,
-5.85,-4.175,1.12,0.00338967,
-7.4125,-3.55,1.12,0.0014234,
-8.975,-2.925,1.12,0.00110578,
1.9625,-3.55,1.12,0.412568,
1.9625,-2.925,1.12,0.537061,
3.525,-4.175,1.12,0.46957,
5.0875,-4.8,1.12,0.411205,
3.525,-2.925,1.12,0.79116,
5.0875,-2.925,1.12,0.77201,
12.9,-7.925,1.12,0.147989,
14.4625,-8.55,1.12,0.124059,
14.4625,-7.925,1.12,0.134199,
11.3375,-7.925,1.12,0.162063,
9.775,-7.925,1.12,0.171942,
16.025,-9.175,1.12,0.105334,
17.5875,-9.8,1.12,0.090455,
16.025,-7.925,1.12,0.121423,
17.5875,-7.925,1.12,0.109878,
8.2125,-7.925,1.12,0.175859,
8.2125,-7.3,1.12,0.20326,
8.2125,-6.675,1.12,0.235092,
8.2125,-6.05,1.12,0.268599,
17.5875,10.2,1.12,0.088725,
17.5875,9.575,1.12,0.0946879,
19.15,9.575,1.12,0.0862247,
17.5875,8.95,1.12,0.100985,
17.5875,8.325,1.12,0.105461,
20.7125,8.95,1.12,0.0826441,
22.275,8.325,1.12,0.0787913,
17.5875,5.2,1.12,0.138407,
17.5875,4.575,1.12,0.143812,
19.15,4.575,1.12,0.124805,
16.025,5.825,1.12,0.150584,
14.4625,6.45,1.12,0.161408,
17.5875,3.95,1.12,0.149229,
17.5875,3.325,1.12,0.153782,
20.7125,3.95,1.12,0.111906,
22.275,3.325,1.12,0.100505,
12.9,7.075,1.12,0.170424,
14.4625,7.075,1.12,0.14973,
16.025,7.075,1.12,0.133678,
17.5875,7.075,1.12,0.119868,
0.4,7.075,1.12,0.0624193,
1.9625,6.45,1.12,0.132156,
1.9625,7.075,1.12,0.108531,
3.525,5.825,1.12,0.244624,
5.0875,5.2,1.12,0.361204,
3.525,7.075,1.12,0.159466,
5.0875,7.075,1.12,0.197733,
12.9,2.075,1.12,0.283514,
14.4625,1.45,1.12,0.235219,
14.4625,2.075,1.12,0.231684,
11.3375,2.075,1.12,0.352925,
9.775,2.075,1.12,0.452505,
16.025,0.825,1.12,0.198533,
17.5875,0.2,1.12,0.166583,
16.025,2.075,1.12,0.191544,
17.5875,2.075,1.12,0.16066,
8.2125,2.075,1.12,0.586932,
8.2125,2.7,1.12,0.541021,
8.2125,3.325,1.12,0.486791,
8.2125,3.95,1.12,0.428831,
17.5875,-0.425,1.12,0.166491,
19.15,-0.425,1.12,0.141261,
17.5875,-1.05,1.12,0.165374,
17.5875,-1.675,1.12,0.161494,
20.7125,-1.05,1.12,0.120983,
22.275,-1.675,1.12,0.103634,
17.5875,-4.8,1.12,0.140678,
17.5875,-5.425,1.12,0.135297,
19.15,-5.425,1.12,0.117371,
16.025,-4.175,1.12,0.170345,
